date,Tooele County,Salt Lake County
7/31/2015,203832.29876333094,262239.91057835124
8/31/2015,205926.61411818792,264938.95242452534
9/30/2015,208101.72084680255,267945.1622832999
10/31/2015,210268.62227558414,270834.9995
11/30/2015,212268.81177867574,273415.6737
12/31/2015,214615.06881880996,275970.3289656522
1/31/2016,216641.4447016682,278424.91693989077
2/29/2016,218142.04378288213,280472.8355056092
3/31/2016,218848.22630680414,281905.43969373574
4/30/2016,219775.56667272115,283435.3795589738
5/31/2016,221011.09598826346,285317.52392855583
6/30/2016,222784.84102056865,287556.48247784196
7/31/2016,224522.28685132673,289555.3499592079
8/31/2016,226209.97333988737,291083.13724865037
9/30/2016,227871.8275165723,292164.8098701308
10/31/2016,229650.8233053642,293203.7457406042
11/30/2016,231491.46360427848,294397.73245840886
12/31/2016,233568.4229789232,295875.5452606375
1/31/2017,235852.24604963753,297875.0585
2/28/2017,238372.15491138058,300484.5100505408
3/31/2017,240452.7686,303742.4243728484
4/30/2017,242466.58023036746,306855.6265213128
5/31/2017,244308.07457213695,309483.05486420455
6/30/2017,246495.6807884204,311756.6035693789
7/31/2017,248446.70254915048,313914.2476006948
8/31/2017,250420.58863539892,316350.02631818765
9/30/2017,252265.6467746999,318781.6939962614
10/31/2017,254292.39486695846,320899.05952424667
11/30/2017,256157.32608917987,323020.4211542607
12/31/2017,258117.31172790544,325560.5807
1/31/2018,260294.02202354427,328534.2684427129
2/28/2018,263222.6988922146,331401.5612864352
3/31/2018,266727.7522806122,334062.80121415417
4/30/2018,269789.1943739803,336053.0698497377
5/31/2018,272024.01550466055,337878.4544473602
6/30/2018,273742.8603,339409.2142578795
7/31/2018,276141.54121462535,342023.88966597733
8/31/2018,278644.1302195498,344781.87797468604
9/30/2018,280795.5897255212,347548.15508065396
10/31/2018,282360.647,349727.9389647741
11/30/2018,284229.1929286579,351781.98255063634
12/31/2018,286491.2956439773,353452.6620388867
1/31/2019,288574.34513890353,355706.4089
2/28/2019,290450.1792380865,358330.2071508886
3/31/2019,292233.79130290233,361084.12157618924
4/30/2019,294161.0718839926,362790.81298928853
5/31/2019,295602.91266857093,363445.6205312695
6/30/2019,296561.66003085446,363782.3956882096
7/31/2019,297360.74157956126,364355.9557350828
8/31/2019,298496.90802316443,365445.96288912493
9/30/2019,299987.59190035117,367080.49646368186
10/31/2019,301808.48222899955,369163.28825521533
11/30/2019,303937.1306212844,371840.88828813826
12/31/2019,306422.5056664836,375091.68012229673
1/31/2020,308711.5176825351,378748.0580568821
2/29/2020,311013.1573323517,382927.0283581621
3/31/2020,313248.26753241435,387308.8626246974
4/30/2020,315889.1026186271,391099.3703315813
5/31/2020,317895.7938266034,392981.54614203057
6/30/2020,319793.5571053011,393645.7833172218
7/31/2020,322141.5760845183,394485.8422094469
8/31/2020,325646.8564065152,397478.7209342001
9/30/2020,330558.46792028024,402842.3948400197
10/31/2020,336305.8734,409867.00629664137
11/30/2020,342804.7823762149,417808.936
12/31/2020,349172.1914460024,425647.7784
1/31/2021,355234.4317218563,433683.6390248208
2/28/2021,361457.9133236846,442546.63633311767
3/31/2021,368376.0830247165,452795.4634482789
4/30/2021,376661.4055570212,464077.3102355879
5/31/2021,386491.3488057792,476151.5033
6/30/2021,396785.64468404604,487748.4016688543
7/31/2021,406731.3876780132,497508.88316490856
8/31/2021,415390.06224905886,504703.3844904649
9/30/2021,422834.50160649355,509793.40544820414
10/31/2021,429185.1539,513803.6284691871
11/30/2021,434839.4352399626,517865.0265420187
12/31/2021,440428.5645048788,522703.74049648206
1/31/2022,446699.92736711836,530760.6819810246
2/28/2022,454110.0706408301,541699.4456414484
3/31/2022,462917.26088080445,555131.4983809312
4/30/2022,471948.55227377644,568274.7613773916
5/31/2022,479657.1783970825,578926.9272120203
6/30/2022,484388.17755365354,584676.0138369859
7/31/2022,484478.8659664394,583474.7607827267
